word.freq,pair.number,freq.category,type,item,n.phonemes,n.morae,n.syllables,cv.shape,wordshape,has.diphthong,has.longv,contained.words,n.neighbors,mean.neighbor.logfreq,neighbors,score.longv,score.shortv,tert_value,tert_count,tert_sd,poss.neighbors,norm.neighbors
2,7,low,nonword,aNu,3,2,2,VCV,vcv,FALSE,FALSE,NA,12,4.15,"aku, anu, ahu, aNo, apu, paNu, maNu, aNa, aru, aNi, au, atu",-1.22725,-1.18775,low,low,low,87,0.138
0,58,unattested,nonword,fiao,4,3,2,CVVV,cvv2,TRUE,FALSE,"fia, ao",9,1.597,"faiao, firo, fao, fio, fia, niao, fito, feao, feiao",-1.147,-1.1508,low,low,low,127,0.071
0,285,unattested,nonword,noe,3,2,1,CVV,cv2,TRUE,FALSE,NA,10,3.757,"hoe, toe, moe, nae, noke, koe, noa, Noe, none, noi",-1.14525,-1.1405,low,low,low,88,0.114
0,110,unattested,nonword,ieke,4,3,3,VVCV,vvcv,FALSE,FALSE,eke,14,2.331,"peke, hieke, meke, heke, tieke, iere, eke, feke, pieke, reke, keke, neke, teke, ike",-1.1222,-1.1294,low,low,low,126,0.111
0,510,unattested,nonword,uoro,4,3,3,VVCV,vvcv,FALSE,FALSE,oro,9,3.041,"poro, roro, kuoro, horo, puoro, tuoro, toro, koro, oro",-1.1068,-1.1114,low,low,low,126,0.071
8,511,mid,nonword,upu,3,2,2,VCV,vcv,FALSE,FALSE,NA,11,3.581,"upa, unu, uru, kupu, umu, utu, apu, uhu, ipu, uku, tupu",-1.13925,-1.10775,low,low,low,87,0.126
0,120,unattested,nonword,iru,3,2,2,VCV,vcv,FALSE,FALSE,NA,11,2.925,"uru, ira, ihu, inu, imu, iro, iri, oru, aru, ipu, miru",-1.10225,-1.09525,low,low,low,87,0.126
1205,119,high,nonword,iroa,4,3,3,VCVV,vcvv,FALSE,FALSE,"iro, roa",9,2.413,"ioa, ira, iro, oroa, miroa, iria, iNoa, eroa, roa",-1.0762,-1.086,low,low,low,117,0.077
0,92,unattested,nonword,hoio,4,3,2,CVVV,cv2v,TRUE,FALSE,"hoi, io",10,1.962,"ioio, hoiho, hopo, hono, hoko, hoto, Noio, koio, hoi, horo",-1.0592,-1.07,low,low,low,127,0.079
3458,298,high,nonword,Nui,3,2,2,CVV,cvv,FALSE,FALSE,NA,9,4.121,"rui, tui, hui, nui, mui, Noi, kui, NAi, ui",-1.066,-1.06575,low,low,low,88,0.102
0,406,unattested,nonword,riei,4,3,2,CVVV,cvv2,TRUE,FALSE,NA,6,2.711,"riri, rei, ripi, rifi, riki, riNi",-1.0822,-1.0622,low,low,low,127,0.047
4,4,low,nonword,aihu,4,3,2,VVCV,v2cv,TRUE,FALSE,"ai, ihu",5,2.57,"ihu, kihu, aitu, ahu, aihe",-1.0684,-1.0602,low,low,low,126,0.04
