speakMaori,compMaori,maoriEducation,linguistics,age,gender,ethnicity,bornNz,island,outsideNz,regionMost,qualification,mediaMaori,socialMaori,children,maoriList,regionCurrentLive,duration,firstLang,firstLangCountry,otherLangs,hawaii,anyPolynesian,whichPolynesian,maoriRespect,maoriCompulsory,maoriProf,maoriExpo,maoriAttitude,workerId
1,1,1,no,30-39,F,Non M,Yes,north,No,Wellington,undergraduate,4,4,No,6,Wellington,long,English,NZ,None,No,No,None,5,5,2,8,10,1
1,2,1,lang,30-39,F,Non M,Yes,north,No,Wellington,high,5,4,Yes,9,Manawatu,long,English,NZ,None,No,No,None,5,5,3,9,10,2
2,3,3,no,40-49,F,Non M,Yes,north,No,Bay of Plenty,graduate,4,5,Yes,8,Bay of Plenty,long,English,NZ,None,No,No,None,5,5,5,9,10,3
1,1,0,no,18-29,F,Non M,No,north,No,Auckland,undergraduate,3,1,No,3,Auckland,long,English,NZ,cmn,No,No,None,5,5,2,4,10,4
1,1,1,no,30-39,NB,Non M,Yes,north,No,Otago,high,2,2,No,5,Canterbury,short,English,NZ,None,No,No,None,5,5,2,4,10,5
1,1,1,no,50-59,F,Non M,Yes,south,No,Southland,high,5,3,No,3,Southland,long,English,NZ,None,No,No,None,5,5,2,8,10,6
1,1,2,no,40-49,F,Non M,Yes,south,No,Otago,graduate,5,4,Yes,9,Auckland,long,English,NZ,None,No,No,None,5,5,2,9,10,7
1,1,0,no,60,F,Non M,Yes,north,No,Waikato,undergraduate,5,3,No,7,Waikato,long,English,NZ,None,No,No,None,5,5,2,8,10,8
1,3,0,no,60,F,Non M,Yes,north,No,Auckland,graduate,2,5,No,7,Auckland,long,English,NZ,fra,No,No,None,5,5,4,7,10,9
1,1,0,no,18-29,M,Non M,Yes,north,No,Manawatu,graduate,2,2,No,5,Manawatu,long,English,NZ,None,No,No,None,4,3,2,4,7,10
1,1,1,no,18-29,F,Non M,Yes,south,No,Canterbury,high,4,3,No,3,Canterbury,short,English,NZ,None,No,No,None,5,5,2,7,10,11
1,1,0,no,60,F,Non M,Yes,south,No,Canterbury,undergraduate,5,2,No,3,Nelson Bays,short,English,NZ,None,No,No,None,5,5,2,7,10,13
